respond	context_0
Where are you going? Your shift's not over. Hey! Remember what you told me? The second you start blaming yourself for people's deaths...there's no coming back.	Oh, God. Come on.Clear!Still in V-tach, clear!Come on. VF, Clear!Aw, come on. Come on, Come on! GOD! GOD, GOD!He wasn't about to die, was he, Newbie? Could have waited another month for a kidney.
...Or nobody remembering Ray Catay's eightieth birthday.	Right after I put some drops in.
Uh, I would have, Mr. Catay, but Dr. Reid is throwing a huge celebration for you later.	Why aren't you guys making a bigger fuss?
I should tell her about that. The truth is, with modern medicine, 80 isn't that big a deal anymore. It's not like the olden days.	Uh, I would have, Mr. Catay, but Dr. Reid is throwing a huge celebration for you later.
Let us not feel sorrow for Bobby Adams. He was 12. He lead a full life. He will be missed, especially by his beautiful wife, Jenny, who stood by him even when he turned 6 and had a midlife crisis and was caught banging one of those naked people who brought us corn.I'd be the oldest man in pilgrim village.	I should tell her about that. The truth is, with modern medicine, 80 isn't that big a deal anymore. It's not like the olden days.
Still, you should always celebrate life, because you never know when it's going to throw you a curve ball. Like with Dr. Cox. He recently made a decision any doctor would have made and because of it, three patients died. At first, he was inconsolably sad.After that, he started acting out.	Let us not feel sorrow for Bobby Adams. He was 12. He lead a full life. He will be missed, especially by his beautiful wife, Jenny, who stood by him even when he turned 6 and had a midlife crisis and was caught banging one of those naked people who brought us corn.I'd be the oldest man in pilgrim village.
Yeah, enough, gang. That's how rumors get started. Hell, Gloria, I made a joke once that you hooked up with Leonard, the big, black security guard with the hook hand. Now everyone thinks it's true.	Yeah, and I heard that he bitch-slapped the maitre-d'.
OK. Well, make sure to put antiseptic on any puncture wounds, OK? Now, I know Dr. Cox seems crazy mad at the world right now, but let's remember. Three patients died. What's amazing is that he can take a hit like that, one that would knock the rest of us out for good, and come out the other side still standing. That's why the man's an inspiration. I mean, he is a rock.	Gloria! I love me some white meat.
Yup, he's the best damn doctor here.	OK. Well, make sure to put antiseptic on any puncture wounds, OK? Now, I know Dr. Cox seems crazy mad at the world right now, but let's remember. Three patients died. What's amazing is that he can take a hit like that, one that would knock the rest of us out for good, and come out the other side still standing. That's why the man's an inspiration. I mean, he is a rock.
Oh, no.	Newbie, will you give me a little trouble? I'm having some help here.
Pregnancy had made Carla a little hormonal.	Families that aren't from Connecticut, Elliot.
I couldn't believe how depressed he was yesterday.	Beat him, got it.
You don't even know what we're talking about.	Oh, I know. When I first heard about it was like "whoa, no way!"
Pass.	You fellows want to go to a real donkey show? It's really very tastefully done. I understand one of the women who entertains the donkey used to be on a soap.
Always pass, sir.	Well, standing invitation, every Thursday.
Turk, you know what bothers me? Dr. Cox shows up to work drunk and we're all acting like nothing happened.	Well, uh, I'll ask Mickhead.
Turk was psyched because orthopedic surgeons are notoriously the most unemotional, jockish surgeons of all.He was finally going to have a boss he could connect with.	I don't know, I kind of feel for the guy. Besides, I am way too excited. I start my orthopedic rotation today. It is going to be awesome.
That's pretty lame.	He actually said "I think that's pretty special." Then he got all emotional. How lame is that?
Well, you hug me all the time.	I'm just not into all of that sensitive, touchy-feely stuff.
You're sports team's in the World Series!	Yeah!
A grand slam!	Ha! What a game!
OK, let it out. I got you. J.D.'s got you. Hold me tighter. Little too tight. There's a good spot.	Great. Is there another guy on this planet who's that sensitive?
You gonna go talk to Dr. Stone?	It doesn't look cancerous. Eh, get in there and take your pants off.
Turk was right. Personal feelings shouldn't get in the way of a professional relationship. But they do.	Nah, it'll blow over. Plus, he's a surgeon, and surgeons don't hold grudges. Now, if you'll excuse me, I have to go scrub up. And by the way, your shift with Dr. Cox starts in ten minutes.
Look, Carla, I have a real problem with what Dr. Cox did and I don't think I can go over there.	Actually, Dr. Turk, I think I'm going to let Dr. Norman here take the lead on this one, OK?
You'd be surprised. There's something called Munchausen Syndrome, where a parent will intentionally harm their child to get some attention on themselves.	Who would smother their own child?
Hmm, someone should.	I've never heard of that. Someone should do a public service announcement about it.
You had a tough day at the office, so you come home, make yourself some dinner, smother your kids, pop in a movie, maybe have a drink. It's fun right? Wrong. Don't smother your kids.That problem would be gone forever.	Hmm, someone should.
I'm just not down with the whole drinking and doctoring thing, OK? Excuse me.	...sunshine all over the place, just put on a happy face! Yeah!
I can help you with Dr. Stone. He's one of my people. He's a sensy.	I'm never gonna get a good surgery on this rotation.
It's short for sensitive guy. Our music is acoustic alternative. We marvel at fireflies. And when we help a drunk girl home from the bar, sure we cop a feel. A feel of her hair as we're pulling it back so she doesn't get any vomit in it.	What's a sensy?
I did! That was our last year! I didn't what you to get Jagermeister in your corn rows.	I'm having a weird med-school flashback. I think you held my hair back while I vomited.
Hockey?	My Latrell Sprewell phase.
Dammit.	Basketball.
You're gonna cry in front of him.Laugh if you must, but it'll show him you have emotional depth and it will trigger a nurturing impulse inside him that we sensies can't resist.	What am I gonna do about Dr. Stone.
Anywho, don't worry about crying. I got this menthol from the pharmacy. I read online that actors in Hollyweird actors spray it in their eyes when they need to fake cry.	You need to cry, let's brainstorm. I could hit you over the head with a wrench. Or, I could stab you in the gut with a knife.Knife-wrench! Practical and safe.Waah! OH! Ohh! Oh boy. Ahh!
Oh, I'm using it for the final death scene in my movie, Dr. Acula. Last night, my German financier, Hans, rest in peace, died on the Autobahn. So now I gotta shoot the whole thing on my cell phone.	Why do you have five of them?
OK, there he is. You ready?OW! He's the one who needs to cry, you idiot, not me!AAAHHH!!	She made me watch.
No!	Oh, yeah, I forgot all about that crying stuff. I was just...Oh, hey, loose thread.
OK, he's hugging Colonel Doctor, which means you got about seven seconds.	Got it. Knife-wrench! For kids.
A good one does. Here's the plan. What you're gonna do is tell him a story that isn't inherently sad. That way, when you get all emotional, he's gonna think you're extra sensitive. At which point, I'm gonna nail you with the menthol and you'll be crying like a ten year old pilgrim widow. Here he comes. And, blacktion.	A hug takes seven seconds?
And, come on, fishy, take the bait.	Yeah, you know, I'm just out here thinking about my wife. She's pregnant with our first child.
He's not a sensy. He's a nutjob.	We are not so different, you and I.
Good. That gives us time to come up with a new plan.	Old habit.So, he has a mild concussion, and they're going to let him rest for awhile.
He's your attending, you have to connect with him. You need somebody you can look up to. Someone you can count on. What you need is someone who will always have your back.	Oh, no, no, no, no, no, no. That's it. I'm done. There's no way he and I are going to have a relationship. Not unless I want to bear his seventeenth child.
