respond	context_0	context_1	context_2
You mean we are off. I changed my schedule which means I have Thursday nights off which means we are going out which means you are going to be my wingman. Even though you're horrible at it.	Dude, four more hours and I am off.	You know, you could be a dynamite center square.	How does he come up with this stuff?
Turk, are you sure this isn't offensive? It doesn't look like anybody else is wearing a costume.	When have I been a bad wingman?	You mean we are off. I changed my schedule which means I have Thursday nights off which means we are going out which means you are going to be my wingman. Even though you're horrible at it.	Dude, four more hours and I am off.
All right.	Buddy, relax. These are my guys, all right? As long as you're with me, they're going to find this funny.	Turk, are you sure this isn't offensive? It doesn't look like anybody else is wearing a costume.	When have I been a bad wingman?
Wazzup!Waaaah!!	That looks like Talia.	All right.	Buddy, relax. These are my guys, all right? As long as you're with me, they're going to find this funny.
Wooo! Ahh!	My bad, my bad.	Wazzup!Waaaah!!	That looks like Talia.
Every time I saw them they yelled out "cracker." How did they know I love crackers?	That that wasn't Talia.	Wooo! Ahh!	My bad, my bad.
We'll be rooting for you.	All the best.	Good luck fellas.	Wish us luck guys!
And I will see you later.	Good luck.	We'll be rooting for you.	All the best.
And bowled a gentleman's 40. Now, who wants to help me off with my shoes? I forgot to wear socks.I'm losing them.	That's how we do!	It's great. You surround yourself with some new friends. You say one clever thing and you're in. Watch this. You guys, let's tally it up, gather round! Whoa, Carol! 180, amazing! Lisa, you had a 125. Turk, 192!	I can't believe people hang out at bowling alleys now.
Nice save.Krishnas.	If you ladies remain in this area, we'll bring back drinks.	And bowled a gentleman's 40. Now, who wants to help me off with my shoes? I forgot to wear socks.I'm losing them.	That's how we do!
You look great, man, I'm glad.	I feel I feel great.	Look at you, man, you're color's back, there's no sign of infection.	Oh.For the next twenty minutes, you will sit in silence while I tell you why the Detroit Red Wings are the greatest franchise in the history of professional sports. On September 25, 1926...
Unfortunately, things weren't going as well for Marc.	Thanks.	You look great, man, I'm glad.	I feel I feel great.
Sometimes that's the way life works. The ones who do the nice things suffer the most. Whether it's giving up Turk Night for a friend...	He's hypertensive and tachycardic.	Unfortunately, things weren't going as well for Marc.	Thanks.
When you're the one paying the price it can really make you wonder...	Hi!Oh, come on!	...or agreeing to be the bad guy for your boss.	Oh my God.
...was it worth it?	He's bleeding out. Prep the OR. CAN I HAVE THE CRASH CART IN HERE!!	When you're the one paying the price it can really make you wonder...	Hi!Oh, come on!
You're going. Where are the interns?	You know what? Thursday night might not work for me.	Sounds hot. Hey, we're going out Thursday, right? Because I went online and got a magic eight-ball bowling ball. Check this: Are the ladies going to love this? "Ask again later?" Oh, I'm just kidding, it says yes.	The Martin Luther King Fling?
What?!	They're with Dr. Cox. Apparently he's mentoring them and talking to them and stuff.	You're going. Where are the interns?	You know what? Thursday night might not work for me.
No! Zip it! I am so G-darn pissed right now. I was OK when you kept me at an arm's length because everybody said "that's just Cox. That's how he operates." And I believed them. Now I walk in on this. This bi-racial love fest? You know what? I hate to do it, but I'm giving you back the pencil. That's right. The pencil you gave me on my third day of work. You handed it off to me like a like a tiny yellow baton. Like you were trying to say to me "J.D., you are the new me. You, J.D., are my mentee. You are my son."	Newbie...	Oh. My. God.	I might have an answer for that: Ew. I mean come on, children, what do you actually think is going to happen here? Do you think I'm going to take you and sit you down next to me and say, uh, "listen, um, if you need anything......you've got my pager. Just know that I'm there for you, always."
Oh, that's perfect.That's perfect. You know what, take it!Maybe you can use it with Rex, or Gloria, or that guy.	What pencil?	No! Zip it! I am so G-darn pissed right now. I was OK when you kept me at an arm's length because everybody said "that's just Cox. That's how he operates." And I believed them. Now I walk in on this. This bi-racial love fest? You know what? I hate to do it, but I'm giving you back the pencil. That's right. The pencil you gave me on my third day of work. You handed it off to me like a like a tiny yellow baton. Like you were trying to say to me "J.D., you are the new me. You, J.D., are my mentee. You are my son."	Newbie...
Heh. His name is Leslie. His name is Leslie. You're name is Leslie. All right, good for you, Leslie.LESLIE!	That guy's name is Leslie.	Oh, that's perfect.That's perfect. You know what, take it!Maybe you can use it with Rex, or Gloria, or that guy.	What pencil?
Cheers.	Me too.	I'm having a great time, man.	Uh, reggaeton.
Carla's pregnancy also affected Elliot.	Ahh, I think the children in pediatrics would love this little fella. Ha ha!	Carla being pregnant had changed everyone. It made Dr. Kelso softer.	Diseased rodent should be nowhere near my pregnant princess.
Well, who cares, Lonnie. Because all that really matters is whether or not America loves it.	We don't love it.	Thanks for your opinion, Carla. But I'm much more interested in what you all think.	You know what, I'm not sure that suit works on you.
He's a dynamite tailor. Not sure why he's here.	For the last time, it's Americo. And of course I love it. I made it!	Well, who cares, Lonnie. Because all that really matters is whether or not America loves it.	We don't love it.
How you doing, buddy?	You better put your scrubs on, Herbert's back.	He's a dynamite tailor. Not sure why he's here.	For the last time, it's Americo. And of course I love it. I made it!
How you feeling, love bug?	Because of his weight, Herbert was a frequent visitor and no one liked treating him.He wasn't a mean thing. See, with big people, even the simple stuff is more difficult. I didn't mind, because Herbie was my man.	How you doing, buddy?	You better put your scrubs on, Herbert's back.
Herbie, it's not a bath house.We'll get those bandages off later today, Mr. Brooks, all right	Fully loaded. Hey, it's time for my sponge bath, right? I need three girls...	How you feeling, love bug?	Because of his weight, Herbert was a frequent visitor and no one liked treating him.He wasn't a mean thing. See, with big people, even the simple stuff is more difficult. I didn't mind, because Herbie was my man.
Life was good, but then came a surprise visit from my brother, and a round of the game he likes to call "Watch her leave."	You look like you need to be rescued.	And just like that, I had the chance to comfort Claire.	You turned me down fourteen times for drinks. Well, who's the creepy loser now, huh?
Yes, she was, Dan. Thank you. We'll be right back.	There's no easy way to say this. We've got the crabs.Oh, she was cute.	Life was good, but then came a surprise visit from my brother, and a round of the game he likes to call "Watch her leave."	You look like you need to be rescued.
Well, OK.	I call him Coxsmith.	Don't call him Coxsmith.	That does not count as a formal hello, Coxsmith.
Hey, I paged you because I can't figure out what's going on with Herbert. He's got acute back pain and no cauda equina signs.	Nothing.	What's up my negro amigo?	Oh, and if you mention the names to anyone, they'll ruin them for us, so don't tell anyone, OK? No one.
That Dan train used to hook up with Elliot.	What?	Thanks a lot, dude.	Dan train. Woo woo!
Look, Dan doesn't exactly have the world by the tail, OK? Every time he calls me all depressed, the only thing I can think of to cheer him up was to say "Elliot still digs you." I'm just trying to find a way to make him feel good about himself, you know?	What? I mean it tickles.	Doctor-patient confidentiality goes both ways, Mr. I-Prefer-My-Temperature-Taken-Through-the-Back-Door.	So? Man, your boy J.D.'s been telling him that Elliot still likes him.
